text,canonical_form_1,category_1,severity_rating,severity_description
69,69,sexual anatomy / sexual acts,1,mild
@55,ass,sexual anatomy / sexual acts,1,mild
@ssfcker,fuck,sexual anatomy / sexual acts,2.8,severe
@ssfucker,fuck,sexual anatomy / sexual acts,2.8,severe
@ssfvcker,fuck,sexual anatomy / sexual acts,2.4,strong
@sshole,ass,sexual anatomy / sexual acts,1.6,strong
0ral seks,sex,sexual anatomy / sexual acts,1,mild
0ral sex,sex,sexual anatomy / sexual acts,1.8,strong
0rg@sm,orgasm,sexual anatomy / sexual acts,1,mild
0rgasms,orgasm,sexual anatomy / sexual acts,1,mild
3jakulating,ejaculation,sexual anatomy / sexual acts,1.6,strong
4r5e,arse,sexual anatomy / sexual acts,1.4,mild
4r5ed,arse,sexual anatomy / sexual acts,1.4,mild
4r5es,arse,sexual anatomy / sexual acts,1.4,mild
4skin,foreskin,sexual anatomy / sexual acts,1,mild
5h17,shit,bodily fluids / excrement,1,mild
5h1t,shit,bodily fluids / excrement,1,mild
5kank,skank,sexual orientation / gender,2,strong
a_s_s,ass,sexual anatomy / sexual acts,1,mild
abbie,abraham,racial / ethnic slurs,1.2,mild
abeed,abeed,racial / ethnic slurs,1.8,strong
aboe,abo,racial / ethnic slurs,1,mild
anal,anal,sexual anatomy / sexual acts,1,mild
anal hole,anal,sexual anatomy / sexual acts,2.2,strong
anal hore,anal,sexual anatomy / sexual acts,2.4,strong
anal pirate,anal,sexual anatomy / sexual acts,2.2,strong
analingus,anal,sexual anatomy / sexual acts,1.6,strong
analplug,anal,sexual anatomy / sexual acts,2.2,strong
analplugs,anal,sexual anatomy / sexual acts,2,strong
anilingus,anal,sexual anatomy / sexual acts,1.8,strong
animal fucker,fuck,sexual anatomy / sexual acts,3,severe
anus,anus,sexual anatomy / sexual acts,1,mild
anus plug,anus,sexual anatomy / sexual acts,2,strong
ape shit,ape,bodily fluids / excrement,1.6,strong
ape shite,ape,bodily fluids / excrement,1.6,strong
apeshit,ape,bodily fluids / excrement,1.4,mild
apeshite,ape,bodily fluids / excrement,1.4,mild
ar5e,arse,sexual anatomy / sexual acts,1,mild
ar5ehole,arse,sexual anatomy / sexual acts,1.4,mild
arse,arse,sexual anatomy / sexual acts,1,mild
arse gobbler,arse,sexual anatomy / sexual acts,2,strong
arse hole,arse,sexual anatomy / sexual acts,1.2,mild
arse-bandit,arse,sexual orientation / gender,2,strong
arse-bandits,arse,sexual anatomy / sexual acts,2.2,strong
arse-fucker,fuck,sexual anatomy / sexual acts,2.6,severe
arse-fuckers,fuck,sexual anatomy / sexual acts,2.6,severe
arse-hole,arse,sexual anatomy / sexual acts,1.8,strong
arse-shagger,arse,sexual anatomy / sexual acts,2.4,strong
arsefuck,fuck,sexual anatomy / sexual acts,2.8,severe
arsefucker,fuck,sexual anatomy / sexual acts,2.6,severe
arsehole,arse,sexual anatomy / sexual acts,1.4,mild
arseshit,arse,sexual anatomy / sexual acts,1.8,strong
arsewipe,arse,sexual anatomy / sexual acts,1.4,mild
ashole,ass,sexual anatomy / sexual acts,1.6,strong
ass,ass,sexual anatomy / sexual acts,1,mild
ass bandit,ass,sexual anatomy / sexual acts,1.6,strong
ass eating boiolas,ass,sexual anatomy / sexual acts,2.8,severe
ass eating nob jokeys,ass,sexual anatomy / sexual acts,2.8,severe
ass fecker,fuck,sexual anatomy / sexual acts,2.6,severe
ass fuck,fuck,sexual anatomy / sexual acts,2.8,severe
ass fucker,fuck,sexual anatomy / sexual acts,2.6,severe
ass fucking boiolas,fuck,sexual anatomy / sexual acts,2.6,severe
ass fucking nob jokeys,fuck,sexual anatomy / sexual acts,2.6,severe
ass hole,ass,sexual anatomy / sexual acts,1.2,mild
ass kisser,ass,sexual anatomy / sexual acts,1.2,mild
ass licking,ass,sexual anatomy / sexual acts,1.6,strong
ass muncher,ass,sexual anatomy / sexual acts,2.2,strong
ass-bandit,ass,sexual anatomy / sexual acts,1.8,strong
ass-fucker,fuck,sexual anatomy / sexual acts,2.8,severe
ass-fuckers,fuck,sexual anatomy / sexual acts,2.6,severe
ass-hole,ass,sexual anatomy / sexual acts,2,strong
asses,ass,sexual anatomy / sexual acts,1,mild
assface,ass,sexual anatomy / sexual acts,1.6,strong
assfck,ass,sexual anatomy / sexual acts,2.6,severe
assfcker,ass,sexual anatomy / sexual acts,2.8,severe
assfk,ass,sexual anatomy / sexual acts,2.2,strong
assfkcer,ass,sexual anatomy / sexual acts,2.6,severe
assfker,ass,sexual anatomy / sexual acts,2.2,strong
assfkr,ass,sexual anatomy / sexual acts,2.2,strong
assfook,ass,sexual anatomy / sexual acts,2.6,severe
assfuccer,ass,sexual anatomy / sexual acts,2.2,strong
assfuck,fuck,sexual anatomy / sexual acts,2.6,severe
assfuck3r,fuck,sexual anatomy / sexual acts,2.8,severe
assfucker,fuck,sexual anatomy / sexual acts,2.8,severe
assfuckers,fuck,sexual anatomy / sexual acts,2.8,severe
assfuckerz,fuck,sexual anatomy / sexual acts,2.4,strong
assfukah,fuck,sexual anatomy / sexual acts,2.4,strong
assfukka,fuck,sexual anatomy / sexual acts,2.8,severe
assfukker,fuck,sexual anatomy / sexual acts,2.6,severe
assfukkerz,fuck,sexual anatomy / sexual acts,2.8,severe
assfvck3r,fuck,sexual anatomy / sexual acts,3,severe
assfvcker,fuck,sexual anatomy / sexual acts,2.6,severe
asshat,ass,sexual anatomy / sexual acts,1.2,mild
asshol3,ass,sexual anatomy / sexual acts,1.8,strong
asshole,ass,sexual anatomy / sexual acts,1.2,mild
asshole fucker,fuck,sexual anatomy / sexual acts,2.6,severe
assholes,ass,sexual anatomy / sexual acts,1.6,strong
assmunch,ass,sexual anatomy / sexual acts,1.8,strong
assmuncher,ass,sexual anatomy / sexual acts,2.2,strong
asswhole,ass,sexual anatomy / sexual acts,1.4,mild
asswipe,ass,sexual anatomy / sexual acts,1.6,strong
axe wound,wound,sexual anatomy / sexual acts,1.2,mild
azz,ass,sexual anatomy / sexual acts,1,mild
azzhole,ass,sexual anatomy / sexual acts,1.6,strong
b to the inch,bitch,sexual orientation / gender,1.2,mild
b!tch,bitch,sexual orientation / gender,1.4,mild
b00bz,boobs,sexual anatomy / sexual acts,1,mild
b0llock,bollocks,sexual anatomy / sexual acts,1,mild
